"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Denmark","DNK","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","","","","","0.7","","","0.1","","","","","0.1","","","0.3","0.3","0.3","0.2","0.3","0.3","0.6","0.1","0.1","0.1","0.4","0.3","0.2","0.3","0.2","0.2","0.3","0.2","","",
"Dominican Republic","DOM","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","32.1","","","22.1","","","","17.5","16.4","","","16.7","16.2","17.1","21.3","25.9","20.3","18.2","17.9","18.3","16.8","16.7","15.4","15.3","14.7","12.4","10.6","9.8","7.5","6.3","5.6","6.9","6.7","",
"Algeria","DZA","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","23.9","","","","","","","","","","","","","","","","9.1","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","84.7","80","70.8","69.3","67.2","70","68.9","68","66.7","65.2","62.9","60.6","58.4","57.9","58","56.2","53.9","52.2","49.2","46.9","44.3","40.7","39.4","36.7","35.1","33","29.8","26.9","24.6","20.1","17.9","15.8","14.1","13.1","11.5","10.2","","","",
"Europe & Central Asia (excluding high income)","ECA","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","12.3","15","17.7","20.8","18.7","19.9","18.4","18.7","23.1","20.8","19.1","17.3","16.6","14.3","13.2","11.5","10.1","8.6","8.5","8.2","7.7","7.5","7.1","7.2","7.1","6.7","6.5","5.9","5.9","6","","",
"Ecuador","ECU","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4","","","","","36","42.8","","","28.2","28.8","23.5","19.7","19.3","18.1","17.8","15.4","13.2","12.2","11.2","9.8","10.5","10.3","9.7","10.3","10.9","14.3","11.5","",
"Egypt, Arab Rep.","EGY","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4","","","","","33","","","","24.5","","","","","29.9","","","","29.1","","23.5","","21.1","","","20","","26.2","","23.2","","","",
"Euro area","EMU","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","2.3","","","","","1.9","","","","","1.1","","","","","2","","","","","0.7","","","1.1","1.2","1.1","1.2","0.7","0.9","1.2","1.1","1.7","1.5","1.7","1.5","1.6","1.7","1.2","1.3","1.2","1.4","","",
