"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Chile","CHL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1293.65","1422.85","1366.28","1498.84","1552.28","1646.31","2060.22","2097.28","2238.49","2533.11","3136.05","3285.42","3735.16","3964.76","4121.66","4442.92","4966.91","5004.13","5746.21","6052.08","6636.6","6759.96","7437.65","7875.81","8979.79","","",
"China","CHN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33621.11","37424.8","43775.33","45192.17","53284.78","70675.54","75171.18","87849.66","120946.86","165403.81","192392.77","213167.91","247545.45","285495.89","308768.95","323135.69","328127.24","356356.43","385178.3","405811.76","436078.81","468045.33","531109.87","610458.55","669744.3","","",
"Cote d'Ivoire","CIV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.05","114.9","99.19","108.1","75.76","81.14","78.97","98.37","106.46","102.07","98.6","119.18","164.66","150.72","156.06","179.43","185.37","158.68","181.06","175.74","172.82","198.18","246.41","235.97","241.01","","",
"Cameroon","CMR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117.49","130.21","129.96","122.21","118.07","152.21","191.66","211.67","209.46","282.86","313.83","317.67","326.04","350.01","357.4","400.98","410.77","473.08","566.45","593.41","669.64","789.61","869.43","922.96","1130.5","","",
"Congo, Dem. Rep.","COD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.55","19.8","18.03","16.27","15.01","9.05","11.52","15.24","13.8","23.05","24.58","31.47","39.97","44.55","52.94","45.72","70.06","67.49","86.91","100.02","97.14","123.35","140.58","133.03","171.76","","",
"Congo, Rep.","COG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.29","11.29","20.67","23.01","17.35","15.8","23.93","32.59","40.04","45.62","43.74","47.38","48.67","40.4","41.36","46.01","53.73","50.62","70.67","78.31","75.85","66.45","62.02","73.99","72.62","","",
"Colombia","COL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","362.45","406.22","394.84","463.17","535.48","533.64","680.85","709.28","849.59","983.57","1447.51","1566.45","2363.72","2705.07","3167.93","3523.18","4082.94","4502.77","4993.91","5349.4","6179.73","6608.45","7483.06","8423.92","9296.64","","",
"Comoros","COM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.29","0.13","1.25","0.98","0.2","0.2","0.33","1.17","2.4","1.17","3.59","0.74","0.76","2.15","3.95","1.2","8.93","1.51","1.74","4.84","3.73","3.07","3.79","3.4","","",
"Cabo Verde","CPV","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.53","0.5","0.2","1.48","0.25","0.67","0.17","1.39","1.63","0.37","4.14","3.67","2.47","5.04","3.05","2.7","3.88","7.6","8.77","10.85","8.34","14.24","8.94","13.25","21.5","","",
"Costa Rica","CRI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158.45","166.95","157.79","127.05","121.83","169.1","162.07","153.49","219.15","217.13","222.9","226.94","248.32","251.22","266.59","264.83","308.69","270.87","357.66","361.36","412.4","454.87","526.51","573.49","666.28","","",
"Caribbean small states","CSS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236.496219163315","233.399149716685","234.244222460164","247.078138013418","246.643603864764","333.062501717975","324.578042285709","339.528412720966","384.849535672528","407.58651060319","372.056864063188","458.797174139327","490.095198928255","519.91","496.44","523.25","551.89","525.49","613.14","467.43","549.53","597.94","611.24","612.37","696.28","","",
