,Year,"EA, at least completed lower secondary","COD, by injury","Population, total","Hospital beds (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85,GDP per capita
14309,2013,41.037971496582,20.07335587747165,6185642.0,1.07,El Salvador,43.4,14.2,42.7,0.9,4.0,3.6,15.6,3555.1620995848125
14312,2013,85.7873001098633,3.29628637409932,7164132.0,5.5,Serbia,39.5,11.6,28.3,3.2,5.5,5.8,12.0,6755.073674616297
14319,2013,99.2826919555664,5.69482990552947,5413393.0,5.8,Slovak Republic,28.1,1.2,4.1,0.2,0.4,0.3,1.5,18276.009551654777
14320,2013,97.1484069824219,7.33255210813689,2059953.0,4.55,Slovenia,26.2,0.1,0.4,0.0,0.0,0.0,0.1,23503.282485025724
14321,2013,88.9272308349609,4.990884779030055,9600379.0,2.59,Sweden,28.8,0.8,1.3,0.5,0.6,0.7,0.8,61126.94319639787
14342,2013,52.6753196716309,5.39842011797903,76576117.0,2.65,Turkiye,40.2,2.7,13.8,0.1,0.6,0.3,3.8,12507.80315788638
14348,2013,52.3144111633301,7.051313872168345,3381180.0,2.49,Uruguay,40.5,1.1,7.4,0.0,0.2,0.2,1.9,18140.891918067213
14369,2014,86.2205581665039,4.12681470034922,2889104.0,2.8833333333333333,Albania,34.6,9.7,38.7,0.1,2.1,1.0,12.5,4578.63320812155
14377,2014,91.8276672363281,5.85702495846548,23475686.0,3.79,Australia,34.4,0.7,1.0,0.4,0.4,0.5,0.6,62515.31483150098
14378,2014,99.5548477172852,5.37756284546725,8546356.0,7.58,Austria,30.5,0.3,0.7,0.1,0.2,0.2,0.4,51786.3771747897
14381,2014,82.3405303955078,6.20055951618006,11209057.0,5.85,Belgium,28.1,0.1,0.3,0.1,0.1,0.1,0.1,47764.071512082504
14392,2014,51.923828125,8.87878422709081,10916987.0,1.15,Bolivia,47.8,9.0,20.2,1.9,3.8,4.3,8.7,3022.462884435614
14393,2014,56.3307189941406,12.4539423731105,203459650.0,2.22,Brazil,52.0,8.6,24.3,1.1,3.1,3.3,9.2,12071.404654748498
14401,2014,97.0206527709961,5.69679930275473,8188649.0,4.73,Switzerland,32.5,0.0,0.1,0.0,0.0,0.0,0.1,88724.99094026377
14417,2014,78.9592819213867,4.81592639526197,1176995.0,3.42,Cyprus,35.6,0.2,0.4,0.1,0.1,0.1,0.2,19733.22926902731
14418,2014,99.8154830932617,4.98468926732941,10525347.0,6.68,Czechia,25.9,0.1,0.8,0.0,0.0,0.0,0.2,19890.919905664778
14419,2014,96.7991485595703,3.94692920225668,80982500.0,8.23,Germany,30.9,0.2,0.2,0.0,0.0,0.0,0.1,48023.86998454543
14422,2014,91.4856109619141,3.49101268373796,5643475.0,2.69,Denmark,28.4,0.2,0.7,0.1,0.1,0.2,0.3,62548.98473329075
14423,2014,56.3503684997559,11.8261360981609,10282115.0,1.79,Dominican Republic,44.3,10.9,34.8,0.8,3.1,3.4,12.4,6533.6709679806445
14434,2014,73.7143478393555,3.4163321994382,46480882.0,2.97,Spain,36.1,1.5,3.3,0.5,0.7,0.8,1.5,29513.651180040004
14441,2014,82.6331634521484,6.59523492090918,66312067.0,6.2,France,32.3,0.0,0.2,0.0,0.0,0.0,0.1,43068.54872417323
14445,2014,99.8598480224609,3.44305898990108,64602298.0,2.73,United Kingdom,33.1,0.5,0.5,0.2,0.3,0.2,0.4,47447.58893226662
14446,2014,96.7086486816406,4.50710591601015,3719414.0,2.89,Georgia,37.6,22.0,57.0,1.6,6.4,6.1,22.3,4739.277807755093
14453,2014,67.5204162597656,3.30112596768081,10892413.0,4.24,Greece,35.8,2.9,7.7,0.8,1.4,1.5,3.2,21616.71000949046
14456,2014,24.8188199996948,15.2702954374445,15306316.0,0.62,Guatemala,48.3,25.9,55.4,2.7,8.8,9.5,24.1,3779.6260422507935
14465,2014,96.6406173706055,4.54410005508674,9866468.0,6.98,Hungary,30.9,1.1,5.4,0.5,0.7,0.7,1.7,14294.258418075142
14470,2014,47.2939186096191,5.04473675290412,256229761.0,0.94,Indonesia,40.2,40.5,74.9,1.5,11.4,9.3,34.3,3476.6248543286547
14475,2014,84.81540298461915,3.91249200952794,4657740.0,2.57,Ireland,31.9,0.5,1.2,0.3,0.4,0.4,0.6,55643.05943387394
14476,2014,68.479850769043,11.6151208049467,79961672.0,1.5,"Iran, Islamic Rep.",38.8,4.4,21.1,0.1,1.1,0.8,6.2,5757.543332618482
14479,2014,88.8317489624023,4.1685711777156,8215700.0,3.08,Israel,39.8,1.2,5.5,0.2,0.4,0.5,1.6,38259.68109561729
14490,2014,85.7208404541016,10.3210205864257,50746659.0,11.59,"Korea, Rep.",31.2,0.5,1.5,0.1,0.2,0.2,0.5,29249.57522097425
14507,2014,93.0639724731445,6.91261389981482,2932367.0,7.26,Lithuania,37.7,2.7,6.3,0.7,1.2,1.3,2.5,16551.01820207798
14509,2014,99.4220123291016,5.65483433311722,1993782.0,5.66,Latvia,35.1,1.9,7.1,0.4,0.8,0.8,2.5,15742.391338190531
14514,2014,96.1719436645508,6.47492173094629,2857815.0,5.66,Moldova,26.8,0.8,19.9,0.0,0.1,0.0,3.8,3289.1678458869487
14518,2014,57.4869689941406,10.1501120910894,118755887.0,1.03,Mexico,48.7,12.0,38.3,1.1,3.7,3.7,13.6,11076.134114197472
14523,2014,76.8865127563477,3.19160701114444,434558.0,4.59,Malta,29.0,0.0,0.1,0.0,0.0,0.0,0.0,26753.2601254783
