,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",Gini index,GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",GDP per capita
63,El Salvador,2011,38.5569686889648,0.0388000011444092,5.12892376681616,42.3,20283780000.0,20.4477010132172,0.263790011405945,10.2079801559448,6137349.0,4.3,1.03,71.859,1.8823,3304.974183478893
65,Slovenia,2011,96.017951965332,1.62654995918274,1.80285171941907,24.9,51583869785.1853,7.84314369716472,13.2726097106934,22.2077598571777,2052843.0,8.17,4.62,79.9707317073171,2.4965,25128.015043130577
66,Sweden,2011,87.7039489746094,1.17101001739502,2.96115073822139,27.6,574094112972.733,4.82245509216902,10.5083999633789,29.2780895233154,9449213.0,7.8,2.7,81.8024390243903,3.8821,60755.75955084652
67,Turkiye,2011,49.7481307983398,0.3471700102090835,6.47187967115097,40.0,838785514058.562,5.10500743782608,1.59450995922089,12.7643203735352,74173854.0,8.8,2.62,74.941,1.716,11308.3717351206
69,Albania,2012,87.2148971557617,0.0896200016140938,2.03159268395298,29.0,12319834233.2904,5.13416760461897,12.3307304382324,12.8996601104736,2900401.0,13.38,2.88,78.064,1.2683,4247.631356247084
70,Belgium,2012,80.2901916503906,0.5384499927361807,2.83966343445897,27.5,496152879924.727,6.211664640783519,13.137590090433768,30.4177799224854,11106932.0,7.54,5.99,80.3853658536585,2.9393,44670.560684510085
71,Bolivia,2012,51.923828125,0.286500006914139,4.51560291399368,46.6,27084497481.9103,9.121431773520971,1.79473996162415,24.0322399139404,10569697.0,2.07,1.1,66.705,0.4528,2562.4667842332947
72,Bhutan,2012,9.59809970855713,0.0838999971747398,10.919656944683,38.8,1781280170.44296,9.104610373977104,0.745790004730225,4.54776000976563,721145.0,2.05,1.74,69.326,0.2765,2470.072135899105
73,Switzerland,2012,96.2765808105469,2.9372900724411,-0.692552018105236,31.6,686420221557.99,5.6852903582205006,18.60464477539065,32.3196296691895,7996861.0,4.49,4.97,82.6975609756098,3.9102,85836.20767673591
74,Cyprus,2012,78.7048034667969,0.6257399916648867,2.38905410042319,34.3,25047433099.5891,5.270300515903925,9.91740512847898,34.1045188903809,1156556.0,11.8,3.46,80.109,2.296,21656.91337003059
