,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $6.85 a day (2017 PPP) (%),GDP per capita
13760,2011,45.0074005126953,0.452219992876053,3.65301100430729,245117990242.249,4.2520392743071,13.5167903900146,14.1166296005249,10557560.0,12.68,3.37,80.4707317073171,4.1178,Portugal,36.3,0.9,3.7,0.2,0.4,0.5,1.1,23217.29549652088
13761,2011,41.55285949707032,0.10169333219528186,8.25396825396825,33737033607.0615,12.6445081776989,6.038726647694907,11.67961997985841,5843939.0,4.67,1.36,72.131,1.2774,Paraguay,52.3,12.9,32.2,1.6,4.7,5.0,13.0,5772.995509888365
13767,2011,88.2002182006836,0.0810699984431267,5.78925328815882,192613558645.612,4.43558809207205,9.26996040344238,12.7575902938843,20147528.0,7.18,6.31,74.409756097561,2.5153,Romania,35.9,12.6,33.5,2.0,4.8,5.4,13.2,9560.158380006322
13773,2011,10.8460102081299,0.274910002946854,3.40322829786967,17814283649.9367,10.4673398923678,1.15807998180389,2.98130011558533,12875880.0,10.36,0.3,65.262,0.1898,Senegal,40.3,71.0,90.9,14.3,32.2,41.0,56.2,1383.5391173214334
13777,2011,38.5569686889648,0.0388000011444092,5.12892376681616,20283780000.0,20.4477010132172,0.263790011405945,10.2079801559448,6137349.0,4.3,1.03,71.859,1.8823,El Salvador,42.3,18.4,50.0,1.3,5.4,5.3,19.0,3304.974183478893
13787,2011,99.3099085489909,1.06246995925903,3.91928599146294,99922685424.8842,5.30436121699577,16.503719329834,20.6499996185303,5398384.0,13.62,6.05,75.9585365853659,3.2999,Slovak Republic,26.5,0.9,3.0,0.2,0.4,0.4,1.1,18509.740215754235
13788,2011,96.017951965332,1.62654995918274,1.80285171941907,51583869785.1853,7.84314369716472,13.2726097106934,22.2077598571777,2052843.0,8.17,4.62,79.9707317073171,2.4965,Slovenia,24.9,0.0,0.3,0.0,0.0,0.0,0.0,25128.015043130577
13789,2011,87.7039489746094,1.17101001739502,2.96115073822139,574094112972.733,4.82245509216902,10.5083999633789,29.2780895233154,9449213.0,7.8,2.7,81.8024390243903,3.8821,Sweden,27.6,0.8,1.4,0.4,0.5,0.6,0.8,60755.75955084652
13810,2011,49.7481307983398,0.3471700102090835,6.47187967115097,838785514058.562,5.10500743782608,1.59450995922089,12.7643203735352,74173854.0,8.8,2.62,74.941,1.716,Turkiye,40.0,4.0,15.9,0.0,0.8,0.1,4.8,11308.3717351206
13816,2011,51.2122192382813,0.0611100010573864,8.09283206302989,50342405198.2458,6.70522188765526,1.51925504207611,10.940710067749,3361637.0,6.31,2.98,76.983,3.951,Uruguay,42.2,1.3,8.5,0.0,0.3,0.1,2.2,14975.562560218666
