,Country Name,Year,"EA, at least completed lower secondary","EA, Doctoral or equivalent",Poverty headcount ratio at $3.65,Inflation,Poverty headcount ratio at $6.85,Gini index,GDP (current US$),Poverty gap at $2.15,Poverty gap at $3.65,"COD, by injury","EA, at least Master's or equivalent",Poverty headcount ratio at $2.15,"EA, at least completed short-cycle tertiary","Population, total",Population ages 65 and above (% of total population),"COD, by non-communicable diseases",Unemployment,Poverty gap at $6.85,"Hospital beds (per 1,000 people)",Life expectancy,"Physicians (per 1,000 people)","EA, at least completed primary"
14401,Switzerland,2014,97.0206527709961,2.97441005706787,0.0,-0.0132025387515987,0.1,32.5,726537808338.0,0.0,0.0,5.6852903582205006,18.1987590789795,0.0,35.6050109863281,8188649.0,17.6841958960604,90.2020630811133,4.83,0.1,4.73,83.1975609756098,4.1171,99.7253799438477
14412,Costa Rica,2014,54.6673202514648,0.314749985933304,4.3,4.51920098516958,15.1,48.6,52016408923.9289,0.6,1.5,11.71635369771485,2.34184002876282,1.5,23.4954795837402,4844288.0,8.44905294141751,81.1337070222445,8.5,5.1,1.17,78.774,2.6434,82.0140991210938
14417,Cyprus,2014,78.9592819213867,0.616890013217926,0.2,-1.35498885446312,0.4,35.6,23225912183.4988,0.1,0.1,5.270300515903925,9.50104999542236,0.1,35.2161903381348,1176995.0,12.3954222405363,90.5859906750756,16.09,0.2,3.42,80.771,2.4993,93.9071578979492
14418,Czechia,2014,99.8154830932617,0.504239976406097,0.1,0.343988589646784,0.8,25.9,209358834156.329,0.0,0.0,5.247882521396885,14.7503499984741,0.0,18.9672508239746,10525347.0,17.6084010720933,89.92501153613945,6.11,0.2,6.68,78.8243902439024,3.9345,99.8542098999023
14419,Germany,2014,96.7991485595703,1.26112997531891,0.2,0.90679400043421,0.2,30.9,3889093051023.45,0.0,0.0,3.90739535899718,10.7488899230957,0.0,24.8727207183838,80982500.0,20.743886196754,91.2734581387648,4.98,0.1,8.23,81.090243902439,4.0846,100.0
14423,Dominican Republic,2014,56.3503684997559,0.0,10.9,2.99864226125217,34.8,44.3,67179956264.9383,0.8,3.1,12.82581644870505,1.19762003421783,3.4,11.7863502502441,10282115.0,5.94875178890724,68.50227276360926,6.72,12.4,1.79,72.867,1.4684,66.5080795288086
14434,Spain,2014,73.7143478393555,0.673649996519089,1.5,-0.151114837527181,3.3,36.1,1371820537888.6,0.5,0.7,3.51312967279382,12.73080015182495,0.8,28.9789295196533,46480882.0,18.2937848683828,91.53369491818054,24.44,1.5,2.97,83.2292682926829,3.7767,90.1487197875977
14441,France,2014,82.6331634521484,0.712890028953552,0.0,0.507758822937957,0.2,32.3,2855964488590.14,0.0,0.0,6.76717417600158,8.35151958465576,0.0,28.5274600982666,66312067.0,18.6484201991835,86.99291011651536,10.29,0.1,6.2,82.719512195122,3.1941,97.5446166992188
14445,United Kingdom,2014,99.8598480224609,0.88425999879837,0.5,1.45112016293279,0.5,33.1,3065223279583.79,0.2,0.3,3.39179412251166,8.78437042236328,0.2,38.9803009033203,64602298.0,17.5812898743289,88.916382560362,6.11,0.4,2.73,81.3048780487805,2.7149,99.8598480224609
14446,Georgia,2014,96.7086486816406,0.301580011844635,22.0,3.06881210379542,57.0,37.6,17627336228.0536,1.6,6.4,4.614172527217335,27.421989440918,6.1,30.8818302154541,3719414.0,13.8496940439586,92.4265530727907,17.44,22.3,2.89,73.099,4.7754,98.7651824951172
14453,Greece,2014,67.5204162597656,0.540329992771149,2.9,-1.31226096405516,7.7,35.8,235458133124.604,0.8,1.4,3.146085112067145,2.40397000312805,1.5,23.0271892547607,10892413.0,20.522461240682,89.0424041901874,26.49,3.2,4.24,81.3853658536585,5.9717,94.6889190673828
14456,Guatemala,2014,24.8188199996948,0.0415299981832504,25.9,3.41836169662962,55.4,48.3,57852150564.52,2.7,8.8,16.1744116508245,0.363940000534058,9.5,8.53061008453369,15306316.0,4.3572313147602,57.76714028793995,2.72,24.1,0.62,71.964,0.31745,43.95550537109375
14465,Hungary,2014,96.6406173706055,0.659240007400513,1.1,-0.227566270988384,5.4,30.9,141033843265.669,0.5,0.7,5.028018122401085,8.47980976104736,0.7,20.8776302337646,9866468.0,17.7269259186933,93.164405115112,7.73,1.7,6.98,75.7634146341463,3.3443,99.5173797607422
14470,Indonesia,2014,47.2939186096191,0.04129333297411603,40.5,6.39492540819922,74.9,40.2,890814755511.291,1.5,11.4,5.32600158064744,0.564450025558472,9.3,8.65480041503906,256229761.0,6.13010307938018,71.07042163880945,4.05,34.3,0.94,69.533,0.28296,76.6004180908203
14479,Israel,2014,88.8317489624023,1.40883994102478,1.2,0.479786761439352,5.5,39.8,314330061977.263,0.2,0.4,4.698293490021564,12.5802602767944,0.5,46.790470123291,8215700.0,10.732317829449,86.25659890763666,5.89,1.6,3.08,82.1536585365854,3.4612,95.5748519897461
14490,"Korea, Rep.",2014,84.3110046386719,0.6753550171852115,0.5,1.27477446401322,1.5,31.2,1484318219633.63,0.1,0.2,11.5225716233636,3.994189977645875,0.2,37.81163024902345,50746659.0,12.5359402512469,80.05823907169935,3.08,0.5,11.59,81.7219512195122,2.207,94.9054069519043
14507,Lithuania,2014,93.0639724731445,0.468670010566711,2.7,0.103758009433715,6.3,37.7,48533659592.1728,0.7,1.2,7.94538957939705,13.1971502304077,1.3,29.143272399902326,2932367.0,18.9943162230137,89.11673173193151,10.7,2.5,7.26,74.5170731707317,4.2507,98.7109069824219
14509,Latvia,2014,99.4220123291016,0.584519982337952,1.9,0.620490636732377,7.1,35.1,31386896487.0402,0.4,0.8,6.09902241547557,10.7552900314331,0.8,28.7276401519775,1993782.0,19.6451684925056,91.3763733816522,10.85,2.5,5.66,74.1243902439024,3.1724,99.71453475952148
14514,Moldova,2014,96.1719436645508,0.0829999968409538,0.8,5.0887855462588,19.9,26.8,9399833207.49341,0.0,0.1,7.2405716067240755,0.689189970493317,0.0,33.518180847168,2857815.0,10.8985118785958,87.95244577446725,3.73,3.8,5.66,69.031,2.4746,99.2903594970703
14518,Mexico,2014,57.4869689941406,0.0840200036764145,12.0,4.01861608078673,38.3,48.7,1315356131262.48,1.1,3.7,11.254109459086749,1.24433994293213,3.7,14.4319295883179,118755887.0,6.78540884972966,77.9385090960421,4.81,13.6,1.03,74.797,2.2263,78.7838134765625
14523,Malta,2014,76.8865127563477,0.244929999113083,0.0,0.310306472181729,0.1,29.0,11625843213.6076,0.0,0.0,3.331855686281005,4.2165699005127,0.0,16.4621200561523,434558.0,18.2894268223573,90.89399516787086,5.73,0.0,4.59,82.0463414634146,2.6592,98.4661331176758
14529,Mozambique,2014,15.2227398554484,0.0383200012147427,83.1,2.55974875844296,93.6,54.0,17716091057.2675,29.4,48.4,8.029948041404584,0.208169996738434,64.6,1.9034866491953533,26038704.0,2.5838209423975,31.639178868794,3.384,67.6,0.7,57.274,0.06206666666666666,33.9927895863851
14537,Niger,2014,8.36524963378906,0.219449996948242,82.4,-0.930287259984461,96.7,34.3,10862943546.2851,18.1,39.8,9.007689146686914,0.551569998264313,53.6,1.70499002933502,19372014.0,2.38302532715494,25.5245039979412,0.52,64.1,0.3499999999999999,60.786,0.0272,13.8695602416992
14540,Netherlands,2014,89.3653717041016,0.560840010643005,0.2,0.976035079699661,0.4,28.6,892167986713.708,0.0,0.1,4.553269485969805,10.5571298599243,0.1,30.2677993774414,16865008.0,17.4883144654081,89.3598277513063,7.42,0.2,3.575,81.7073170731707,3.4194,98.4327926635742
14541,Norway,2014,99.2095336914063,0.883610010147095,0.1,2.0417028670721,0.4,26.8,501736471832.848,0.1,0.1,5.420070350371605,9.68177032470703,0.1,35.7232704162598,5137232.0,16.029715117401,87.42944037717444,3.48,0.2,3.84,82.1,4.4249,99.6536331176758
14549,Panama,2014,61.490291595459,0.255290001630783,7.4,2.62668365353324,16.8,50.5,49921400000.0,0.9,2.6,10.88602180134541,2.37209010124207,2.9,21.3589096069336,3888793.0,7.13459255025821,72.5923884895378,4.419,7.0,2.24,77.248,1.552575,82.6293563842773
14554,Poland,2014,83.8526306152344,0.566950023174286,1.1,0.0538213132400467,3.8,32.8,539080532037.142,0.2,0.4,5.4111721196195,18.7445392608643,0.4,23.8849296569824,38011735.0,15.0099531846206,90.19182825974414,8.99,1.2,6.63,77.6024390243903,2.302,98.8694686889648
14558,Portugal,2014,51.444938659668,0.452219992876053,1.5,-0.278153367467421,4.7,35.6,229901964221.881,0.2,0.5,4.35284471492313,13.5167903900146,0.5,17.4849891662598,10401062.0,20.1267354779403,86.4080980124505,13.9,1.6,3.32,81.1219512195122,4.5567,89.9500198364258
14559,Paraguay,2014,46.698299407959,0.065250001847744,7.6,5.02882767456758,22.6,50.7,40377987314.6435,0.6,2.3,12.3529019868978,6.41115999221802,2.4,13.6463804244995,6090721.0,5.45785137752985,71.02706944823565,5.03,8.2,0.83,72.878,1.3159,73.4089965820313
14565,Romania,2014,89.0505218505859,0.0810699984431267,13.9,1.06830987684293,29.7,36.0,199713780259.318,2.5,5.7,4.04442330649708,9.26996040344238,7.0,13.5352802276611,19908979.0,16.4531584589201,92.16995323650185,6.8,13.3,6.71,74.909756097561,2.5742666666666665,98.5820388793945
14575,El Salvador,2014,41.18958473205565,0.0388000011444092,13.7,1.1413446753823,42.7,41.6,22593470000.0,0.8,3.8,20.07335587747165,0.263790011405945,3.4,9.136108318964636,6209526.0,7.23838605085267,64.68263497655585,4.15,15.3,1.35,71.746,2.21805,56.66832288106283
14578,Serbia,2014,86.7260437011719,0.409209996461868,12.2,2.08244793880151,28.2,40.5,47062202241.4378,4.3,6.4,3.29628637409932,1.49623000621796,6.9,18.9766292572021,7130576.0,18.8473626583386,94.56488970541776,19.22,12.9,5.52,75.3365853658537,2.4611,93.680778503418
14585,Slovak Republic,2014,99.3442611694336,0.548160016536713,1.8,-0.0761653295419824,4.8,26.1,101437045019.899,0.5,0.7,5.69482990552947,15.3560495376587,0.7,18.294059753418,5418649.0,13.7734199896708,89.41426080121575,13.18,1.9,5.79,76.8121951219512,3.4214,99.7848434448242
14586,Slovenia,2014,97.5927124023438,1.62654995918274,0.0,0.199343826570849,0.3,25.7,49997186439.0908,0.0,0.0,7.33255210813689,13.2726097106934,0.0,25.1138591766357,2061980.0,17.4491798949066,88.41720015531476,9.67,0.1,4.54,81.0780487804878,2.7628,99.62057876586918
14587,Sweden,2014,89.4749069213867,1.183109998703,0.7,-0.17963849411465,1.1,28.4,581964017237.095,0.3,0.4,4.990884779030055,10.633620262146,0.5,31.0949001312256,9696110.0,19.4113757377077,89.80276139688641,7.95,0.7,2.54,82.2536585365854,4.1115,100.0
14597,Thailand,2014,42.84352493286133,0.101020000874996,1.4,1.89514181898783,18.7,37.0,407339036017.221,0.0,0.2,11.529918288189151,1.9955366452535,0.1,16.808870077133175,69960943.0,10.4621595795243,72.52718323818931,0.58,4.2,2.1,77.415,0.58264,63.715189933776855
14608,Turkiye,2014,54.9677581787109,0.350780010223389,2.2,8.85457271364318,12.4,41.2,938934430070.659,0.0,0.4,5.39842011797903,1.63619995117188,0.2,15.8283195495605,78112073.0,6.91834150325045,88.79291259070561,9.88,3.5,2.68,76.565,1.756,87.8281021118164
14614,Uruguay,2014,53.3844795227051,0.0611100010573864,0.8,8.87735333229825,6.3,40.1,61496186973.902,0.0,0.2,7.051313872168345,1.63250005245209,0.2,12.1393804550171,3391662.0,14.6712754206161,85.3707782015654,6.55,1.6,2.42,77.366,4.4478,88.9386596679688
14615,United States,2014,95.2634735107422,1.76947999000549,1.5,1.62222297740821,2.0,41.5,17550680174000.0,1.0,1.2,6.25416942405898,11.76535987854,1.2,41.8897018432617,318386329.0,14.1355633751345,88.0735753769859,6.17,1.4,2.83,78.8414634146341,2.61,98.7934112548828
14627,South Africa,2014,76.5852508544922,0.308780014514923,40.0,6.12983770287145,61.6,63.0,381198869776.106,6.9,16.6,11.3626358957681,0.755529999732971,20.5,7.13677978515625,54729551.0,5.34771425404166,45.56233222973465,22.61,33.4,2.3,63.38,0.7678333333333334,81.7826538085938
14635,Albania,2015,86.2205581665039,0.0896200016140938,3.7,1.89617402592367,26.2,32.8,11386853143.152,0.0,0.7,4.12681470034922,11.437505245208751,0.1,12.451145172119102,2880703.0,13.5334306684815,92.9178058274323,17.19,6.8,2.8833333333333333,78.644,1.3261600000000002,95.67793273925786
14647,Belgium,2015,84.3579177856445,0.586290001869202,0.2,0.561429152790106,0.2,27.7,462335574841.484,0.1,0.1,6.20055951618006,13.5417098999023,0.1,32.0645713806152,11274196.0,18.2121641721349,85.9018536923863,8.48,0.1,5.83,80.9926829268293,3.0138,95.0690612792969
14655,Belarus,2015,98.1666870117188,0.302630007266998,0.1,13.5344897649735,4.1,25.6,56454895054.6555,0.0,0.0,6.40337946850778,0.916729986667633,0.0,60.6895790100098,9461076.0,14.9859096475283,91.7818640866265,5.838,0.7,11.100000000000001,73.6243902439025,5.1905,99.7885513305664
