,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85
357,5.1,19.7,0.2,1.3,1.0,6.2
358,0.5,2.0,0.0,0.1,0.1,0.6
359,0.0,0.1,0.0,0.0,0.0,0.0
360,0.4,0.9,0.2,0.3,0.3,0.4
361,2.2,12.6,0.0,0.5,0.4,3.5
362,1.2,1.7,0.8,0.9,1.0,1.1
363,0.1,0.3,0.0,0.1,0.1,0.1
364,6.4,17.3,0.8,2.5,3.1,6.6
365,5.3,18.7,0.7,1.8,1.9,6.3
366,6.0,19.9,0.9,2.2,2.3,7.0
367,0.1,0.2,0.0,0.0,0.0,0.1
368,0.0,0.4,0.0,0.0,0.0,0.1
369,1.4,3.1,0.5,0.8,0.9,1.4
370,0.5,1.3,0.2,0.3,0.3,0.6
371,0.2,0.4,0.1,0.1,0.1,0.2
372,0.5,0.7,0.3,0.4,0.5,0.6
373,1.6,3.9,0.5,0.8,0.8,1.6
374,0.8,2.5,0.3,0.4,0.4,0.9
375,23.5,60.7,0.5,5.6,3.8,23.7
376,1.2,2.2,0.7,0.8,0.8,1.2
377,9.9,32.5,1.0,3.1,3.1,11.4
378,0.1,0.2,0.0,0.0,0.0,0.1
379,1.0,2.6,0.2,0.4,0.5,1.0
380,0.0,0.0,0.0,0.0,0.0,0.0
381,0.5,0.9,0.3,0.4,0.4,0.5
382,0.5,1.2,0.2,0.3,0.2,0.6
383,3.7,14.3,0.4,1.2,1.2,4.5
