,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),"Inflation, consumer prices (annual %)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Gini index,GDP (current US$),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total",Population ages 65 and above (% of total population),"Cause of death, by non-communicable diseases (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Poverty gap at $6.85 a day (2017 PPP) (%),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
13869,Switzerland,2012,96.2765808105469,2.97441005706787,0.0,-0.692552018105236,0.0,31.6,686420221557.99,0.0,0.0,5.67378141368627,18.1987590789795,0.0,32.3196296691895,7996861.0,17.2646727544099,90.6957485730542,4.49,0.0,4.97,82.6975609756098,3.9102,100.0
13885,Cyprus,2012,78.7048034667969,0.5760349929332735,0.0,2.38905410042319,0.1,34.3,25047433099.5891,0.0,0.0,5.72467463654588,9.50104999542236,0.0,34.1045188903809,1156556.0,11.8041358117827,90.4474462803766,11.8,0.0,3.46,80.109,2.296,94.037727355957
13886,Czechia,2012,99.8166580200195,0.504239976406097,0.1,3.28762306610408,0.9,26.1,208857719320.649,0.0,0.1,5.51107577546436,14.7503499984741,0.0,17.3434906005859,10510785.0,16.5022105991263,89.9221699012801,6.98,0.2,6.93,78.0756097560976,3.6502,99.8713989257813
13887,Germany,2012,96.7308578491211,1.26112997531891,0.0,2.00848884782951,0.2,31.1,3527143188785.16,0.0,0.0,3.86786151573768,10.7488899230957,0.0,25.6196708679199,80425823.0,20.4554673178396,91.500669582915,5.38,0.1,8.34,80.5390243902439,3.9197,100.0
13909,France,2012,80.487663269043,0.712890028953552,0.1,1.95419531613507,0.3,33.1,2683671716967.19,0.0,0.0,6.93911343109398,8.35151958465576,0.1,25.9517593383789,65662240.0,17.7116185064849,87.1560813588257,9.4,0.1,6.34,81.9682926829268,3.1636,98.4509201049805
13913,United Kingdom,2012,99.8083190917969,0.9003350138664246,0.5,2.57323479654528,0.7,33.1,2706340967030.68,0.2,0.3,3.34052925512224,8.68155527114868,0.2,36.9503593444824,63700215.0,16.952815090638,89.3427633545594,7.88,0.5,2.81,80.9048780487805,2.6667,99.8083190917969
13914,Georgia,2012,95.5943069458008,0.234569996595383,29.6,-0.943658853270966,65.5,39.0,16488819132.8835,3.0,10.0,4.72123913842452,27.3010005950928,10.7,30.1727104187012,3728874.0,13.4306831432179,92.3965711104472,19.65,28.3,2.53,72.412,4.4868,98.1364212036133
13921,Greece,2012,65.3347473144531,0.540329992771149,2.8,1.50152696177748,7.2,36.3,242029307133.408,0.6,1.3,2.99104425645348,2.40397000312805,1.5,21.53025436401365,11045011.0,19.9499810031062,91.2738889074434,24.44,2.9,4.45,80.6341463414634,5.9213,94.03516006469725
13933,Hungary,2012,98.2855682373047,0.5810399949550631,1.0,5.65214517088651,7.8,30.8,128814279315.132,0.2,0.3,5.51193618971543,8.01420998573303,0.3,21.0102405548096,9920362.0,17.0364832056675,92.9856166280788,11.0,1.9,7.0,75.0634146341463,3.1062,99.58147048950195
13947,Israel,2012,86.1581115722656,1.423789978027345,1.5,1.67920719398055,6.7,41.6,262282344091.849,0.3,0.6,5.22801580232753,12.33315515518185,0.7,44.6699714660645,7910500.0,10.348788596998,86.8961751004377,6.86,2.1,3.1,81.7048780487805,3.4997,95.3558731079102
13958,"Korea, Rep.",2012,82.9011688232422,0.578840017318726,0.7,2.18707104433313,1.7,31.6,1278427634342.59,0.1,0.3,12.7241226603015,3.54324007034302,0.2,35.3209915161133,50199853.0,11.7356495326759,80.1622548279412,2.81,0.7,10.25,80.819512195122,2.0798,94.3045272827148
13975,Lithuania,2012,91.415168762207,0.455710008740425,2.0,3.08998277055416,7.0,35.1,42927454291.478,0.7,0.9,8.97816525897928,13.1971502304077,0.9,29.3347702026367,2987773.0,18.4678101458506,88.5451191272801,13.36,2.4,7.45,73.8634146341464,4.1384,98.7013397216797
13977,Latvia,2012,98.9310073852539,0.526764988899231,2.8,2.25778924374594,10.4,35.2,28169902669.3784,0.5,1.0,6.54321049783392,10.7552900314331,1.1,27.2100105285645,2034319.0,19.0286399342435,91.0629932597049,15.05,3.4,5.89,73.7780487804878,3.0913,99.7043228149414
13982,Moldova,2012,95.0330429077148,0.0733699984848499,2.3,4.54633427355305,25.9,29.2,8709138767.2078,0.0,0.4,8.00622148250186,0.6289849877357485,0.1,32.77311277389528,2860324.0,10.3864047305101,87.1707665522437,5.58,5.9,6.23,69.143,2.4135,99.0697479248047
13986,Mexico,2012,58.0119209289551,0.1039133369922637,12.2,4.11150981070293,35.4,48.7,1201093787127.42,1.2,3.8,12.3581068270841,1.2794599930445367,3.8,16.3126907348633,115755909.0,6.44426411095783,76.0637841319078,4.89,13.2,1.03,74.574,2.1118,77.1823425292969
13991,Malta,2012,73.2910614013672,0.256980001926422,0.3,2.37582057760382,0.4,29.4,9461826174.02344,0.0,0.1,3.47210436141757,4.2263400554657,0.1,13.9905500411987,420028.0,17.4634281367831,91.2402010522648,6.2,0.2,4.71,80.7463414634146,2.3566,98.2088088989258
14008,Netherlands,2012,89.8591079711914,0.5577250123023985,0.1,2.45554765291609,0.2,27.6,838923319919.531,0.0,0.1,4.19336980345435,10.31203508377075,0.1,29.2833499908447,16754962.0,16.5110195534795,89.4243499756617,5.82,0.1,3.75,81.1048780487805,3.2463,98.3997192382813
